户型,总价格,名字,小区,建造年代,楼层,面积,首付
        2室2厅2卫，,        138万,番禺大石,天骄时代,2017年,普通住宅高层(共28层)					,78平方米,41.40万                    
        3室2厅2卫，,        365万,番禺大石,锦绣银湾,2009年,普通住宅中层(共28层)					,108平方米,109.50万                    
        2室2厅2卫，,        350万,番禺大石,锦绣银湾,2008年,普通住宅共28层					,105平方米,105.00万                    
        3室2厅1卫，,        148万,番禺大石,富丽家园,2000年,普通住宅高层(共7层)					,103平方米,44.40万                    
        2室1厅1卫，,        240万,番禺大石,中环品悦,2013年,普通住宅中层(共22层)					,78平方米,72.00万                    
        2室2厅2卫，,        340万,番禺大石,锦绣银湾,2008年,普通住宅中层(共28层)					,106平方米,102.00万                    
        3室1厅2卫，,        208万,番禺大石,宾至路小区,2003年,普通住宅中层(共7层)					,92平方米,62.40万                    
        3室2厅2卫，,        325万,番禺大石,丽水湾,2005年,普通住宅中层(共12层)					,99平方米,97.50万                    
        2室1厅1卫，,        180万,番禺大石,莲芳园,2019年,普通住宅中层(共8层)					,79平方米,54.00万                    
        3室2厅2卫，,        355万,番禺大石,锦绣银湾,2006年,普通住宅中层(共28层)					,123平方米,106.50万                    
        2室2厅2卫，,        350万,番禺大石,锦绣银湾,2008年,普通住宅高层(共28层)					,108平方米,105.00万                    
        2室2厅2卫，,        120万,番禺大石,怡居新村,1996年,普通住宅低层(共7层)					,70平方米,36.00万                    
        2室2厅1卫，,        170万,番禺大石,富庭东园,2008年,普通住宅中层(共7层)					,63平方米,51.00万                    
        3室2厅2卫，,        240万,番禺大石,富泽居,2005年,普通住宅中层(共6层)					,87平方米,72.00万                    
        3室2厅1卫，,        268万,番禺大石,丽水湾,2003年,普通住宅中层(共11层)					,80平方米,80.40万                    
        3室1厅1卫，,        176万,番禺大石,乳芳园,1996年,普通住宅低层(共6层)					,80平方米,52.80万                    
        3室2厅2卫，,        420万,番禺大石,锦绣银湾,2009年,普通住宅中层(共28层)					,118平方米,126.00万                    
        5室2厅3卫，,        550万,番禺大石,锦绣银湾,2008年,普通住宅高层(共18层)					,127平方米,165.00万                    
        3室2厅2卫，,        200万,番禺大石,富怡大厦,2005年,普通住宅高层(共6层)					,103平方米,60.00万                    
        3室2厅2卫，,        340万,番禺大石,锦绣银湾,2007年,普通住宅中层(共28层)					,122平方米,102.00万                    
        2室2厅1卫，,        168万,番禺大石,富庭东园,2005年,普通住宅高层(共6层)					,58平方米,50.40万                    
        2室1厅1卫，,        186万,番禺大石,中环品悦,2014年,普通住宅中层(共23层)					,54平方米,55.80万                    
        2室2厅1卫，,        142万,番禺大石,天骄时代,2016年,其它中层(共24层)					,76平方米,42.60万                    
        2室1厅1卫，,        175万,番禺大石,新月明珠花园,2012年,普通住宅中层(共30层)					,58.2平方米,52.50万                    
        4室2厅2卫，,        560万,番禺大石,锦绣银湾,2010年,普通住宅高层(共38层)					,156平方米,168.00万                    
        1室1厅1卫，,        38万,番禺大石,天骄时代,2018年,公寓高层(共24层)					,34平方米,11.40万                    
        3室2厅1卫，,        268万,番禺大石,丽水湾,2003年,普通住宅中层(共11层)					,80平方米,80.40万                    
        3室2厅1卫，,        258万,番禺大石,丽水湾,2004年,普通住宅高层(共11层)					,86平方米,77.40万                    
        2室1厅1卫，,        115万,番禺大石,怡居新村,1998年,普通住宅低层(共7层)					,75平方米,34.50万                    
        2室2厅1卫，,        115万,番禺大石,天骄时代,2017年,普通住宅中层(共26层)					,75平方米,34.50万                    
        3室2厅2卫，,        330万,番禺大石,华筑翡翠湾,2017年,普通住宅中层(共30层)					,104平方米,99.00万                    
        2室2厅1卫，,        118万,番禺大石,莲芳园,1995年,普通住宅中层(共7层)					,70平方米,35.40万                    
        2室1厅1卫，,        195万,番禺大石,天骄时代,2015年,普通住宅中层(共28层)					,95平方米,58.50万                    
        2室2厅1卫，,        150万,番禺大石,乳芳园,1999年,普通住宅高层(共7层)					,76平方米,45.00万                    
        6室2厅3卫，,        588万,番禺大石,锦绣银湾,2007年,普通住宅高层(共18层)					,127平方米,176.40万                    
        3室1厅1卫，,        276万,番禺大石,滨江绿园,2007年,普通住宅中层(共11层)					,87平方米,82.80万                    
        3室2厅1卫，,        255万,番禺大石,丽水湾,2004年,普通住宅中层(共11层)					,83平方米,76.50万                    
        2室2厅2卫，,        98万,番禺大石,天骄时代,2016年,普通住宅中层(共27层)					,79平方米,29.40万                    
        3室1厅1卫，,        148万,番禺大石,番禺金山大厦,1999年,普通住宅中层(共8层)					,67平方米,44.40万                    
        2室2厅1卫，,        200万,番禺大石,福泰园,2004年,普通住宅中层(共8层)					,80平方米,60.00万                    
        3室2厅1卫，,        155万,番禺大石,富丽家园,2000年,普通住宅中层(共7层)					,103平方米,46.50万                    
        5室2厅3卫，,        675万,番禺大石,锦绣银湾,2008年,普通住宅高层(共28层)					,220平方米,202.50万                    
        4室2厅2卫，,        460万,番禺大石,新月明珠花园,2008年,普通住宅低层(共23层)					,130平方米,138.00万                    
        4室2厅3卫，,        230万,番禺大石,香江大厦,2000年,普通住宅高层(共8层)					,131平方米,69.00万                    
        2室1厅1卫，,        115万,番禺大石,大发大厦,1997年,普通住宅中层(共9层)					,62平方米,34.50万                    
        4室2厅2卫，,        538万,番禺大石,长隆珑翠,2014年,普通住宅共31层					,163平方米,161.40万                    
        3室2厅1卫，,        245万,番禺大石,宾至路小区,2000年,普通住宅中层(共7层)					,92平方米,73.50万                    
        2室2厅1卫，,        165万,番禺大石,滨江绿园,2004年,普通住宅高层(共6层)					,63平方米,49.50万                    
        3室2厅2卫，,        320万,番禺大石,丽水蓝天豪庭,2012年,普通住宅低层(共6层)					,109平方米,96.00万                    
        3室2厅2卫，,        160万,番禺大石,敏捷四季花园,2015年,普通住宅中层(共33层)					,86平方米,48.00万                    
        5室3厅3卫，,        450万,番禺大石,滨江绿园,2004年,普通住宅高层(共11层)					,142平方米,135.00万                    
        3室2厅2卫，,        265万,番禺大石,富庭华园,2002年,普通住宅中层(共7层)					,112平方米,79.50万                    
        5室2厅3卫，,        675万,番禺大石,锦绣银湾,2008年,普通住宅高层(共28层)					,220平方米,202.50万                    
        3室1厅1卫，,        235万,番禺大石,大石侨苑,1999年,普通住宅高层(共6层)					,116平方米,70.50万                    
        2室2厅1卫，,        140万,番禺大石,天骄时代,2017年,公寓高层(共27层)					,70平方米,42.00万                    
        3室2厅1卫，,        230万,番禺大石,大石侨苑,1994年,普通住宅高层(共6层)					,116平方米,69.00万                    
        3室1厅2卫，,        245万,番禺大石,富泽居,2003年,普通住宅中层(共6层)					,89平方米,73.50万                    
        3室1厅1卫，,        280万,番禺大石,丽水湾,2004年,普通住宅低层(共11层)					,91.4平方米,84.00万                    
        4室1厅2卫，,        388万,番禺大石,丽水湾,2012年,普通住宅中层(共11层)					,130平方米,116.40万                    
        2室2厅1卫，,        170万,番禺大石,富庭东园,2005年,普通住宅高层(共7层)					,65平方米,51.00万                    
        3室2厅1卫，,        199万,番禺大石,富怡大厦,2005年,普通住宅中层(共8层)					,105平方米,59.70万                    
        3室1厅1卫，,        276万,番禺大石,滨江绿园,2007年,普通住宅共11层					,87平方米,82.80万                    
        2室1厅1卫，,        160万,番禺大石,富丽广场康美居,2003年,普通住宅高层(共6层)					,75平方米,48.00万                    
        3室2厅2卫，,        430万,番禺大石,锦绣银湾,2008年,普通住宅高层(共28层)					,124平方米,129.00万                    
        2室1厅1卫，,        149万,番禺大石,凯跃大厦,1999年,普通住宅中层(共7层)					,65平方米,44.70万                    
        3室2厅1卫，,        220万,番禺大石,富丽广场康美居,2002年,普通住宅中层(共6层)					,80平方米,66.00万                    
        3室2厅2卫，,        340万,番禺大石,华筑翡翠湾,2017年,普通住宅低层(共30层)					,104平方米,102.00万                    
        2室1厅1卫，,        130万,番禺大石,敏捷四季花园,2015年,普通住宅中层(共26层)					,70平方米,39.00万                    
        4室2厅2卫，,        460万,番禺大石,华筑翡翠湾,2016年,普通住宅低层(共26层)					,132平方米,138.00万                    
        2室2厅1卫，,        130万,番禺大石,天骄时代,2016年,普通住宅中层(共17层)					,68平方米,39.00万                    
